.geo,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,hls_date,hls_image_count,hls_valid,hls_valid_image_count,landslide_target,record_id,system:index
"{""type"":""Point"",""coordinates"":[90.63367695776581,25.21005397958058]}",0.2097216916780354,0.2746647769188012,1.0755454246879892,1.0692037441261173,1.021207730786721,1.073432029710475,1.056359875701076,1.0039813804254456,1.068522429387095,0.96361985751099,0.5909937436772368,0.6718420367470237,0.0226165554265484,0.0003376034310374,2024-06-29,381,1,24,1,LS-0271,0000000000000000010e
"{""type"":""Point"",""coordinates"":[90.19385798446024,25.72465207755245]}",0.2033112139605461,0.1011946181082448,0.0244581740010116,0.0651507789580172,0.0457582144663631,0.0866246383409205,0.2549775316135558,0.33893717754173,0.3220883965604453,0.3630926049570057,0.5066187458765432,0.2136103892898462,0.7198925016193541,-0.6262490585954475,2024-07-09,376,1,20,1,LS-0284,0000000000000000011b
"{""type"":""Point"",""coordinates"":[91.86905752731984,26.029623375900773]}",0.249355351077313,0.1385291863117871,0.0880612623574145,0.1210791634980988,0.1063378910012674,0.1371374093789608,0.2961260430925223,0.365268390367554,0.3489397313054498,0.3911517870722436,0.4386044445423324,0.1695371591935625,0.5708598062642342,-0.5189262734730066,2024-07-14,374,1,6,1,LS-0288,0000000000000000011f
"{""type"":""Point"",""coordinates"":[90.23766419320928,25.267237491489965]}",0.2224068196754461,0.1467858450027803,0.1221624892573681,0.1470841514584702,0.1410896061877559,0.1702884889540468,0.3335834538193215,0.3987745665032101,0.3834698599666347,0.424644168646681,0.4508013310810375,0.2680135917292883,0.483046617860987,-0.468116019276921,2024-10-02,429,1,38,1,LS-0340,00000000000000000153
"{""type"":""Point"",""coordinates"":[90.42419730847705,25.236001488610576]}",0.1559225547186978,0.0767594702522368,0.0294301470959914,0.0528555274730829,0.0316521862204923,0.0664223019764443,0.2522925036647627,0.3290990244149019,0.3204612596673911,0.3556677905272203,0.6128805375561706,0.3448616909883318,0.8196668004060047,-0.7164297406578412,2024-10-02,425,1,38,1,LS-0342,00000000000000000155
"{""type"":""Point"",""coordinates"":[92.70878206040162,23.74242113165783]}",0.2645983972408196,0.1455941164536416,0.0866652617163725,0.1256727328058429,0.0990737421383647,0.1473007658754311,0.3708871373503753,0.4739446946642319,0.4467041134104281,0.5034592310813552,0.5266143691740304,0.2659994250172309,0.6723843379895714,-0.5885868817733245,2023-07-22,353,1,9,1,LS-0106,00000000000000000069
"{""type"":""Point"",""coordinates"":[92.71768242610429,23.680591236450745]}",0.1950704250355041,0.1043982197200243,0.0368359707851491,0.0639407181984175,0.0498516534794075,0.0958814719009941,0.2471977835260702,0.2960646074254411,0.2938550415905863,0.3227893639683506,0.4640534851757011,0.1922227534898896,0.6964020038225007,-0.6317321828946714,2024-05-22,359,1,11,1,LS-0143,0000000000000000008e
"{""type"":""Point"",""coordinates"":[92.72660062821117,23.717690957215417]}",0.2241075768333502,0.1424929201744598,0.0509097525103965,0.0815405822091489,0.0777609848869053,0.1154094583629171,0.2406070088244243,0.2833016583832031,0.278781433208236,0.3061610863170706,0.3178885233954844,0.1027260343140864,0.556218172934639,-0.5393142807351221,2024-05-22,359,1,11,1,LS-0145,00000000000000000090
"{""type"":""Point"",""coordinates"":[92.72635091855219,23.62223944006536]}",0.2429152051529136,0.1516871227874422,0.0477840290104985,0.0859805345640817,0.0846844296799716,0.1256744129431454,0.2527706141907998,0.2957384997717704,0.2894825328396815,0.3209485215803622,0.314059962725974,0.085811876164977,0.551780327064803,-0.5405210245859857,2024-05-22,359,1,11,1,LS-0146,00000000000000000091
"{""type"":""Point"",""coordinates"":[92.68158600307665,23.451219537362547]}",0.201349741405537,0.1038124530980631,0.0374270205861474,0.065047910962377,0.0520129753574688,0.0975672447013487,0.2464518710069973,0.2970912077882567,0.2947585488287192,0.3253035087719299,0.4781793935281765,0.1869649339941904,0.6989714561317539,-0.6363210953164468,2024-05-22,370,1,22,1,LS-0147,00000000000000000092
"{""type"":""Point"",""coordinates"":[92.70655696897593,23.55912086465383]}",0.231537127357534,0.1376787061447981,0.0435905140945041,0.0750389677550192,0.069443104846887,0.1109858750760494,0.2453101297911173,0.2928848255931858,0.2876693114986818,0.3197709744473737,0.3519537129385472,0.1056116582085394,0.6095564743435425,-0.5823994243544138,2024-05-22,359,1,11,1,LS-0148,00000000000000000093
"{""type"":""Point"",""coordinates"":[92.27094292796376,23.75095139197307]}",0.560307092162628,0.3802629676568993,1.0811971408293626,1.0898467656899522,1.062163601338335,1.0791420206833615,1.080373578018858,1.0857647368954684,1.088136809287235,1.0792980279833717,0.4826282938046028,0.3206038079541897,0.0120743180897919,0.0007915932843138,2024-06-06,374,1,18,1,LS-0163,000000000000000000a2
